File: ALL_001_F_GER_ENG_ST1.TextGrid
Clauses: 28
  independent               | a black bird saw a hat
  subordinate_advcl         | when he is walking on the pathway
  independent               | he saw a hat
  coordinated_vp            | and then put the hat on his head
  coordinated_vp            | and then walk away
  subordinate_acl           | and the other bird called david
  coordinated_vp            | he saw
  subordinate_ccomp         | peter wear a hat
  subordinate_ccomp         | and said it's so scary
  coordinated_vp            | is and then david said
  subordinate_ccomp         | the hat is bring him some bad luck
  parataxis                 | so peter drop the hat down
  coordinated_vp            | and then run away
  parataxis                 | and david is really happy
  subordinate_advcl         | because he got peter's hat
  coordinated_vp            | and then david bought the hat to his nest
  subordinate_advcl         | but when peter saw it
  coordinated_vp            | he want
  nonfinite_xcomp           | to get the hat back
  parataxis                 | but david he did
  parataxis                 | he doesn't allow
  nonfinite_xcomp           | to give it back to peter
  coordinated_vp            | but peter never mind
  subordinate_advcl         | because he really want the hat back
  coordinated_vp            | but when peter put his hat on his head again
  parataxis                 | and there has a little bird in the hat
File: ALL_075_F_CCT_ENG_ST2.TextGrid
Clauses: 21
  independent_copula_less   | a little boy
  subordinate_acl           | called peter
  parataxis                 | he is sitting under the tree
  coordinated_vp            | and blowing the bubble
  parataxis                 | he is really happy
  coordinated_vp            | and then he try
  nonfinite_xcomp           | to blowing different animal by the bubble
  coordinated_vp            | he blowing the snake the pig and the cat
  nonfinite_xcomp           | chasing the snake
  coordinated_vp            | and then he blowing elephant and a cat again
  parataxis                 | he is so happy and think
  subordinate_ccomp         | that is so amazing
  subordinate_advcl         | but when he want
  nonfinite_xcomp           | to blow more animal
  parataxis                 | he cannot do it
  subordinate_advcl         | because it's time
  subordinate_acl           | to go home
  coordinated_vp            | but at the last time he blow a dragon
  coordinated_vp            | but he left the dragon alone
  parataxis                 | he just walk away by himself
  coordinated_vp            | and go away from the dragon
File: ALL_076_M_CCT_ENG_ST1.TextGrid
Clauses: 20
  independent               | one day a brabber team he found a hat on the grounds
  parataxis                 | then he put his head on his hand
  coordinated_vp            | then he walked around in the grasses
  subordinate_ccomp         | certain certainly a rippers saw him
  coordinated_vp            | and asked him
  subordinate_ccomp         | where did you get this hat from
  parataxis                 | then the brabber team did not give the answer
  coordinated_vp            | and threw out his hat
  coordinated_vp            | and run away
  parataxis                 | then the rippers take a
  coordinated_vp            | take away his hat
  coordinated_vp            | and use the hat like a net
  parataxis                 | then found then the brabber found found
  subordinate_ccomp         | that the rippers use his hat as a net
  parataxis                 | then the brabber team wants
  nonfinite_xcomp           | to take it back
  subordinate_advcl         | when the brabbers team take the hat back
  coordinated_vp            | and put it to his hand
  coordinated_vp            | and then he found
  subordinate_ccomp_copula_less | that a small rippers on inside the hat
File: ALL_076_M_CCT_ENG_ST2.TextGrid
Clauses: 18
  independent_copula_less   | one day a little boy timmy
  coordinated_vp            | and playing with the bubble in the park
  nonfinite_participle      | firstly he blowing the bubble to anything like the cars the 
  subordinate_acl:relcl     | and anything he want
  parataxis                 | then the timmy want
  nonfinite_xcomp           | to blowing the bubble
  coordinated_vp            | and to any animals firstly he blow the bubble like a snake
  coordinated_vp            | and then he blow the bubble like a cat
  coordinated_vp            | and then he blow the bubble like a elephant
  parataxis                 | he found
  subordinate_ccomp         | that is a amazing
  coordinated_vp            | but this animal have go away
  subordinate_advcl         | when he blow out at last
  parataxis                 | he found
  subordinate_ccomp         | that is so boring
  coordinated_vp            | and dump away the bubble
  coordinated_vp            | and run away
  coordinated_vp            | and the dumping bubble became a dragon
File: ALL_077_M_CCT_ENG_ST1.TextGrid
Clauses: 33
  subordinate_acl           | a black bird called blacky
  independent               | found a white top hat on the ground
  parataxis                 | he finds it really interesting and gentlemanlike
  subordinate_advcl         | so he puts it on his head
  parataxis                 | he wears it
  subordinate_advcl         | and as he walks along into an oldgrowth forest
  coordinated_vp            | he sees a white bird
  subordinate_acl           | called whitey
  subordinate_acl:relcl     | whitey looks at him
  subordinate_advcl         | because he looks so strange in the top hat
  parataxis                 | whitey falls to the ground
  coordinated_vp            | and starts laughing
  parataxis                 | whitey laughs nonstop
  nonfinite_participle      | blacky was angered by whitey
  coordinated_vp            | and took off his hat
  coordinated_vp            | and ran off
  coordinated_vp            | whitey took the hat
  coordinated_vp            | put it on a tree
  coordinated_vp            | and laid a nest on it
  subordinate_advcl         | when he sits on the top hat
  parataxis                 | blacky was far away
  subordinate_advcl         | watching him
  subordinate_ccomp         | wondering realizing that he has stole the hat for a reason
  subordinate_advcl         | so blacky runs up to the tree
  coordinated_vp            | grabs the top hat from whitey
  coordinated_vp            | and puts it on his head
  parataxis                 | whitey was really angry
  nonfinite_participle      | whitey was really angered
  subordinate_advcl         | by blacky putting the top hat on his head
  subordinate_advcl         | when the hat fell
  parataxis                 | blacky noticed
  subordinate_ccomp         | that there was a bird on his head
  subordinate_acl           | laid by whitey
File: ALL_077_M_CCT_ENG_ST2.TextGrid
Clauses: 38
  independent               | tommy purchased a magical bubble blowing toy from a shop
  subordinate_acl:relcl     | tommy loves to daydream
  parataxis                 | he always dreams of so many animals
  subordinate_acl           | playing with him
  parataxis                 | so one day he sits under a tree
  nonfinite_xcomp           | and starts blowing bubbles from the toy
  parataxis                 | he blew a kangaroo
  parataxis                 | he found it really amusing
  coordinated_vp            | so he ran around
  coordinated_vp            | and a lot of bubbles appeared including cars sheep ships hou
  subordinate_acl:relcl     | that he could imagine
  parataxis                 | he stopped
  coordinated_vp            | and he blows into the toy again
  parataxis                 | a snake comes out
  coordinated_vp            | and the snake glares at him
  parataxis                 | he finds
  subordinate_ccomp         | that is too boring
  subordinate_ccomp         | that there is only a snake
  parataxis                 | so he blows into the toy again
  parataxis                 | and a cat comes out
  coordinated_vp            | and the cat chases away the snake
  parataxis                 | then he wanted
  nonfinite_xcomp           | to blow something even bigger
  parataxis                 | so he blew an elephant from the toy
  coordinated_vp            | and the elephant chases the cat away
  nonfinite_participle      | now he's trying
  nonfinite_xcomp           | to think of some animals
  subordinate_acl:relcl     | that can scare the elephant away
  coordinated_vp            | and he created a rat
  parataxis                 | then both the rat and elephant disappeared
  parataxis                 | tommy continued
  nonfinite_xcomp           | to blow into the toy
  coordinated_vp            | but nothing came out
  subordinate_advcl         | so he poured the whole thing down to the ground
  coordinated_vp            | and he walked away
  subordinate_advcl         | but as he walked away behind his back
  coordinated_vp            | the bubbles became a snake
  subordinate_acl:relcl     | that glared at him
File: ALL_078_F_CCT_ENG_ST1.TextGrid
Clauses: 34
  subordinate_acl:relcl     | one day a bird who is called ryan
  independent               | saw a hat on the floor
  coordinated_vp            | and then he put the hat on his head
  parataxis                 | what did he find
  subordinate_advcl         | when she want
  nonfinite_xcomp           | to wear the hat
  subordinate_advcl         | walking around the park near the tree
  coordinated_vp            | and then he saw a bird
  subordinate_acl           | called jimmy
  parataxis                 | jimmy looked at ryan's hat
  subordinate_ccomp         | and realized that the hat is belong to him
  coordinated_vp            | and then he stop ryan
  parataxis                 | and then he want
  nonfinite_xcomp           | to say something
  subordinate_advcl         | to get his hat back
  coordinated_vp            | and then ryan feels scary
  coordinated_vp            | and he ran away
  coordinated_vp            | and then he left the hat on the ground
  coordinated_vp            | and then jimmy saw the hat on the ground
  coordinated_vp            | and then he pick it up with his mouth
  coordinated_vp            | and then he put the hat on the tree
  coordinated_vp            | but however ryan knows
  parataxis                 | where they are
  subordinate_ccomp         | so he hide behind the tree and watch
  subordinate_ccomp         | what jimmy was doing at that time
  coordinated_vp            | and then he find
  subordinate_ccomp         | that jimmy sat on the hat
  coordinated_vp            | and then to do a bird thing
  subordinate_advcl         | when jimmy left his hat
  coordinated_vp            | ryan took away the hat
  subordinate_advcl         | to put it on his head
  coordinated_vp            | and then he find
  subordinate_ccomp         | that there is a small bird on the top of his head
  parataxis                 | and the bird is jimmy's son
File: ALL_078_F_CCT_ENG_ST2.TextGrid
Clauses: 28
  parataxis                 | so one day a fiveyearold child
  subordinate_acl           | called jimmy
  independent               | makes some bubbles on the tree and on the ground
  subordinate_advcl         | because he has nothing
  subordinate_acl           | to do after school
  subordinate_advcl         | so he brings that toy
  nonfinite_xcomp           | to going around
  nonfinite_xcomp           | to do some work
  coordinated_vp            | at first he throw some cars shape some transportation vehicl
  parataxis                 | and then he is very happy
  subordinate_advcl         | and then what he made afterwards
  coordinated_vp            | he made a snake and a beer
  coordinated_vp            | afterwards he made a cat
  nonfinite_xcomp           | to chase the snake away
  subordinate_advcl         | but who made the cat away
  coordinated_vp            | he made an elephant
  coordinated_vp            | so elephant chased the cat
  coordinated_vp            | and the cat ran away
  coordinated_vp            | and then he is thinking
  subordinate_ccomp         | which animal can he make
  subordinate_advcl         | to scarey the elephant
  coordinated_vp            | and then he made a mouse
  subordinate_advcl         | but after playing for a while
  coordinated_vp            | he felt bored
  subordinate_advcl         | so he throwed away all the bubble water
  subordinate_advcl         | but when they put them all on the ground
  coordinated_vp            | a dragon comes out
  coordinated_vp            | him ran away
File: ALL_079_M_CCT_ENG_ST1.TextGrid
Clauses: 17
  independent               | once upon a time there was bird
  subordinate_acl:relcl     | who saw a head on the ground
  coordinated_vp            | and then he took the head on his head
  subordinate_advcl         | as he walked by
  subordinate_acl           | there's another bird looking at him
  parataxis                 | all in a sudden the bird without the head was like laughing 
  parataxis                 | he was so pissed
  parataxis                 | as a result he dropped the head on the ground and left
  parataxis                 | the other bird took the head
  coordinated_vp            | and put it on a tree
  coordinated_vp            | and start hatching
  parataxis                 | the other bird looked at him
  coordinated_vp            | and say
  subordinate_ccomp         | why the head you have
  nonfinite_xcomp           | to take my head that's mine
  coordinated_vp            | and then he put the head on his head again
  parataxis                 | whoops there's a little bird on his head
File: ALL_079_M_CCT_ENG_ST2.TextGrid
Clauses: 31
  independent               | there was a kid
  subordinate_acl           | sitting under a tree
  coordinated_vp            | and he was blowing balloons at first
  parataxis                 | he blew a rabbit
  coordinated_vp            | and he was so surprised by it
  parataxis                 | as a result he holds his balloon
  coordinated_vp            | and go all over the places
  coordinated_vp            | and all the balloons turn into other animals all in shapes c
  parataxis                 | shapes anything later
  independent               | he do the same thing again
  parataxis                 | however it has become a snake whoops
  nonfinite_participle      | he was so surprised by it
  coordinated_vp            | and then he blew again
  parataxis                 | there was a pig with a snake
  coordinated_vp            | and the pig is trying
  nonfinite_xcomp           | to chase the snake
  coordinated_vp            | and then he blew the balloon again
  coordinated_vp            | and then an elephant forms the elephant start
  nonfinite_xcomp           | chasing the pig
  coordinated_vp            | and then the pig ran away
  coordinated_vp            | the elephant look at the boy again
  coordinated_vp            | and the boy blew
  subordinate_acl:relcl     | what he blew
  subordinate_ccomp         | was a mouse
  parataxis                 | and the elephant was so scared by it
  coordinated_vp            | and he left lastly
  subordinate_ccomp         | the kid had blew all his balloons
  coordinated_vp            | and he drank all the bottle of the bubbles to the ground
  coordinated_vp            | and he threw the bottle to the trash
  parataxis                 | however there was
  subordinate_ccomp         | a giant things was looking at him from the ground
File: ALL_082_F_CCT_ENG_ST1.TextGrid
Clauses: 19
  independent               | one day the bird rio he found a head on the floor
  coordinated_vp            | and then he tried
  nonfinite_xcomp           | to put the head on
  subordinate_advcl         | and then when he walked in the fresh one
  coordinated_vp            | he saw a bird
  subordinate_acl           | call julie
  coordinated_vp            | and then julie was laughed at him
  subordinate_advcl         | because he wear the head on
  coordinated_vp            | and then rio he ran away
  coordinated_vp            | and then he left the head on the floor
  coordinated_vp            | and then julie he took the head back to the tree
  coordinated_vp            | and then she used the head as the nest
  coordinated_vp            | and then rio came back
  coordinated_vp            | and then he saw it
  coordinated_vp            | and then he want
  nonfinite_xcomp           | to take back the head
  coordinated_vp            | and then he had the head on after that
  coordinated_vp            | he found
  subordinate_ccomp         | there is a baby bird in the head
File: ALL_082_F_CCT_ENG_ST2.TextGrid
Clauses: 21
  subordinate_acl:relcl     | when there a boy he is playing in the park
  coordinated_vp            | and then he blew out the bubble
  coordinated_vp            | and then he blew out the bubble as a car a snat
  coordinated_vp            | or he can try
  nonfinite_xcomp           | to blow out a cat
  subordinate_acl:relcl     | who is chasing a snat
  independent               | and he think
  subordinate_ccomp         | is funny
  coordinated_vp            | so he try
  nonfinite_xcomp           | to blow out more animals like elephants rats
  subordinate_acl:relcl     | and so the bubbles that can play together
  coordinated_vp            | and then he look at the bubble
  coordinated_vp            | and then he try
  nonfinite_xcomp           | to pop the bubble
  coordinated_vp            | and then he think
  subordinate_ccomp         | is not funny at all
  coordinated_vp            | and then he just like dripping all his bubble away
  subordinate_advcl         | and then when he left the park
  coordinated_vp            | there is
  subordinate_ccomp         | a bubble dragon is looking at him
  subordinate_acl:relcl     | and the boy he went back to home
File: ALL_083_F_CCT_ENG_ST1.TextGrid
Clauses: 19
  independent               | one day a black bird saw a hat on the ground
  parataxis                 | he takes the hat
  coordinated_vp            | and puts on the hat
  parataxis                 | later on he saw a bird
  coordinated_vp            | and the bird laughs at him
  parataxis                 | it says
  subordinate_ccomp         | it looks so funny on you
  parataxis                 | so the black bird is so angry
  subordinate_advcl         | so he takes off the hat and left
  subordinate_ccomp         | the white bird takes the hat
  coordinated_vp            | and uses it as a sorry
  subordinate_ccomp         | the white bird takes the hat
  coordinated_vp            | and uses it as a nest the black ball
  subordinate_ccomp         | the black bird sees it
  parataxis                 | he's very angry
  parataxis                 | so he takes the hat back
  parataxis                 | the white bird is not happy about it
  coordinated_vp            | and the black bird put it on his head at the end there's a t
  subordinate_acl           | born from the head of the black bird
File: ALL_083_F_CCT_ENG_ST2.TextGrid
Clauses: 20
  independent               | one day a little boy is playing with his bubble
  parataxis                 | he realized
  subordinate_ccomp         | that he can make a lot of things out of bubbles like rabbits
  subordinate_advcl         | so he tries
  nonfinite_xcomp           | to make a snake out of a bubble
  subordinate_acl:relcl     | but the snake he made
  coordinated_vp            | doesn't like him
  subordinate_advcl         | so he just make another bubble
  coordinated_vp            | and that bubble became a pig
  coordinated_vp            | and the pig chases the snake away
  parataxis                 | after that the boy make another bubble of an elephant
  coordinated_vp            | and the elephant scares the pig away
  coordinated_vp            | and then the little boy make another mouse
  subordinate_advcl         | to chase the elephant away too
  subordinate_advcl         | after he had a lot of fun out of bubbles
  parataxis                 | he popped all the bubbles away
  coordinated_vp            | and then he pour all the bubble liquid on the ground and lef
  coordinated_vp            | but he didn't realize
  subordinate_ccomp         | that the bubble liquid became a little dragon
  coordinated_vp            | and the dragon was looking at him
File: ALL_084_F_CCT_ENG_ST1.TextGrid
Clauses: 31
  independent               | so once upon a time a black hairy bird found a hat on the gr
  subordinate_advcl         | so he was really curious about it
  subordinate_advcl         | so he put it on his head
  parataxis                 | he really liked it
  coordinated_vp            | and he walked around
  coordinated_vp            | so on his way he saw another bird
  subordinate_acl:relcl     | which has long legs and black fur
  coordinated_vp            | and it looks like a little baby
  subordinate_advcl         | and so because the little bird wants a hat
  coordinated_vp            | he made fun of the black hairy bird
  parataxis                 | he said
  subordinate_ccomp         | the hat looks really ugly
  parataxis                 | and so the black hairy bird was angry
  coordinated_vp            | he threw the hat on the ground and left
  subordinate_advcl         | however after the black bird left
  parataxis                 | the little bird tucked the hat back to the little tree
  subordinate_acl:relcl     | that he belongs
  coordinated_vp            | and looked at the hat happily
  coordinated_vp            | but then the black bird was actually following him
  subordinate_ccomp         | and saw that he actually tucked the hat
  subordinate_acl:relcl     | that he said
  parataxis                 | was ugly
  coordinated_vp            | so the black bird took the hat away from the little bird
  coordinated_vp            | and put it on his head
  coordinated_vp            | but then he felt something strange
  coordinated_vp            | and took off the hat
  coordinated_vp            | and saw little tiny bird inside
  coordinated_vp            | so it ends up
  subordinate_ccomp         | the little bird was not a little bird but actually a mother
  coordinated_vp            | and she has another little bird
  parataxis                 | so now the little bird is sitting on the black bird's head
File: ALL_084_F_CCT_ENG_ST2.TextGrid
Clauses: 27
  independent               | once upon a time there was this little boy
  subordinate_acl:relcl     | he was blowing bubbles
  coordinated_vp            | and different animals started
  nonfinite_xcomp           | coming out first
  parataxis                 | he blew out a snake
  parataxis                 | and the snake was very scary
  coordinated_vp            | so he decided
  nonfinite_xcomp           | to blow out something else
  subordinate_advcl         | to get rid of the snake
  coordinated_vp            | so secondly he blew out a cat
  coordinated_vp            | and the cat was chasing off the snake
  coordinated_vp            | and next the little boy blew out an elephant
  parataxis                 | and then the cat was scared and was crying so the little boy
  subordinate_advcl         | to see
  subordinate_ccomp         | that the elephant was chasing the cat next
  parataxis                 | the boy decided
  nonfinite_xcomp           | to blow out a little mouse
  subordinate_acl:relcl     | which scares the elephant
  subordinate_advcl         | because elephants are scared of mice
  coordinated_vp            | and so the elephant was chased away by the mouse
  parataxis                 | and at the end of the day the little boy was sick
  subordinate_advcl         | of blowing bubbles
  coordinated_vp            | so he popped all the bubbles
  coordinated_vp            | and he poured the liquid onto the ground
  subordinate_advcl         | and when he started to leave
  coordinated_vp            | a little dragon popped out of the ground because of the liqu
  subordinate_acl:relcl     | that he poured on the ground
File: ALL_085_F_CCT_ENG_ST1.TextGrid
Clauses: 25
  independent               | so there is a bird
  parataxis                 | so it is black in color
  coordinated_vp            | and he saw a hat on the floor
  parataxis                 | so he picked it up
  coordinated_vp            | and put it on his head
  coordinated_vp            | and he's rocking around
  coordinated_vp            | and another white bird see the black bird
  coordinated_vp            | and the white bird is laughing at the black bird with the ha
  parataxis                 | so maybe the white bird think
  subordinate_ccomp         | the hat is very strange
  coordinated_vp            | so the black bird gets angry
  coordinated_vp            | and he ran away
  coordinated_vp            | and the white bird was sitting on the floor
  coordinated_vp            | and looking at the black bird
  coordinated_vp            | ran away and the hat is left on the floor
  coordinated_vp            | and the white bird take the hat away
  coordinated_vp            | and he put it in onto a tree
  coordinated_vp            | and the white bird is just sitting on the hat
  coordinated_vp            | and the black bird was looking at the white bird
  coordinated_vp            | and he looks a bit angry
  coordinated_vp            | and afterwards he come to the white bird
  coordinated_vp            | and he pick the hat away from the white bird
  coordinated_vp            | and the black bird put the hat on his head
  coordinated_vp            | and at last there is a little bird in the hat
  parataxis                 | and the little bird was in the black bird's hat
File: ALL_085_F_CCT_ENG_ST2.TextGrid
Clauses: 27
  independent               | so there is a little boy
  subordinate_acl:relcl     | sitting under the tree
  coordinated_vp            | and he's blowing the bubble
  parataxis                 | so first he blow an animal
  coordinated_vp            | and then he just blowing many bubbles
  parataxis                 | there are cars birds boats and many things
  coordinated_vp            | and the fourth picture he is blowing a snake
  parataxis                 | and the snake is a bit angry
  coordinated_vp            | and then he blow a cat a very big cat
  subordinate_advcl         | and the when the snake see the cat
  parataxis                 | he is a bit worried
  coordinated_vp            | and the cat is chasing the snake
  coordinated_vp            | and they went away
  coordinated_vp            | and after that the little boy blow an elephant
  subordinate_advcl         | and when the cat see the elephant
  coordinated_vp            | she looks a bit worried and afraid of the elephant
  coordinated_vp            | and the elephant chasing the cat
  coordinated_vp            | and they just fighting
  coordinated_vp            | and afterwards the little boy blow and a mouse
  coordinated_vp            | and the mouse is chasing the elephant
  coordinated_vp            | and at the end the boy pop all the bubble
  parataxis                 | so all the animals are gone
  coordinated_vp            | and the boy just put all the water of the bubble on the floo
  coordinated_vp            | and he goes away
  coordinated_vp            | and last the the the water form in form a dragon
  coordinated_vp            | and the boy just don't know that
  coordinated_vp            | and he go away
File: ALL_086_F_CCT_ENG_ST1.TextGrid
Clauses: 18
  independent               | one day a black bird find a hat on the tree and then he very
  coordinated_vp            | and try the hat on hat
  parataxis                 | he work on the tree
  coordinated_vp            | and then another white bird saw him
  coordinated_vp            | and the white bird say
  subordinate_ccomp         | he hat is really ugly
  coordinated_vp            | and then the black bird threw the hat away
  subordinate_advcl         | after the black bird leave bird
  coordinated_vp            | the white bird pick up the hat
  coordinated_vp            | and then he use the hat be a chair
  coordinated_vp            | and sit on the tree
  coordinated_vp            | the black bird found
  subordinate_ccomp         | that the white bird still keep the hat
  coordinated_vp            | and then he work in front of the white bird
  coordinated_vp            | and then take the hat away
  coordinated_vp            | and put it on hat
  parataxis                 | the white bird is so angry
  parataxis                 | because he little baby bird is inside of the hat
File: ALL_086_F_CCT_ENG_ST2.TextGrid
Clauses: 27
  parataxis                 | one day a little boy
  subordinate_acl           | playing bubble
  independent               | the first bubble become a kangaroo
  coordinated_vp            | and after that many bubble become many different shape for e
  independent               | after that the one of the bubble become a snake
  parataxis                 | the the snake look very scare
  parataxis                 | the little boy don't want
  nonfinite_xcomp           | wanna try another animal
  nonfinite_xcomp           | to eat the snake
  parataxis                 | after that he make a bubble
  nonfinite_xcomp           | become a cat
  coordinated_vp            | and the cat try
  nonfinite_xcomp           | to catch the snake
  parataxis                 | but the cat fell
  coordinated_vp            | and the boy blow another bubble
  subordinate_advcl         | become elephant
  coordinated_vp            | and the cat become very scare
  coordinated_vp            | and the elephant catch the cat
  subordinate_advcl         | once the boy makes the bubble
  nonfinite_xcomp           | become a little mouse
  parataxis                 | the elephant is very scare of the little mouse
  coordinated_vp            | and then run away
  nonfinite_xcomp           | the little boy don't know why the bubble now
  parataxis                 | cannot become anything
  coordinated_vp            | and then he threw the liquid away
  subordinate_advcl         | but when he go away
  coordinated_vp            | a dragon came out
File: ALL_087_M_CCT_ENG_ST1.TextGrid
Clauses: 26
  parataxis                 | a bird with lots of hair
  subordinate_acl           | known as harry
  independent               | is walking around
  coordinated_vp            | and suddenly he saw a hat on the ground
  parataxis                 | he likes the hat very much
  subordinate_advcl         | so he takes the hat
  coordinated_vp            | and put it on his head
  subordinate_advcl         | so he keep on his journey
  subordinate_advcl         | until he met with another bird
  subordinate_acl           | known as birdy
  subordinate_acl:relcl     | birdy likes the hat very much too
  coordinated_vp            | but he don't know
  subordinate_ccomp         | how to take the hat from harry
  coordinated_vp            | so he falls on the ground laughing
  parataxis                 | harry said
  subordinate_ccomp         | the hat doesn't suit him
  parataxis                 | harry is very happy
  coordinated_vp            | and drops the hat on the ground and leaves
  subordinate_advcl         | after his leaves birdy took the hat home
  coordinated_vp            | and instead he uses the hat as a nest
  parataxis                 | harry sees
  subordinate_ccomp         | what birdy was doing
  subordinate_advcl         | so he came to birdy
  coordinated_vp            | and takes the hat away
  subordinate_advcl         | and when harry puts the hat on his head again
  coordinated_vp            | the little bird of birdy was laying on harry's head
File: ALL_087_M_CCT_ENG_ST2.TextGrid
Clauses: 31
  independent               | in an afternoon tom was sitting beside a tree
  subordinate_advcl         | playing with bubbles
  subordinate_advcl         | and when he blew the bubbles
  coordinated_vp            | the bubbles forms all sort of stuff like a kangaroo and cars
  parataxis                 | he was very happy
  subordinate_advcl         | and when tom makes a very long bubble
  coordinated_vp            | the bubble turns into a snake
  parataxis                 | tom was very scared
  subordinate_advcl         | so he tries
  nonfinite_xcomp           | to blow another bubble
  subordinate_advcl         | to counter the snake
  coordinated_vp            | the bubble becomes a big cat
  parataxis                 | then tom wants
  nonfinite_xcomp           | to blow another bubble
  subordinate_advcl         | to counter the big cat
  coordinated_vp            | so he blew a very large bubble
  coordinated_vp            | and it turns into the elephant
  parataxis                 | tom was very pleased
  coordinated_vp            | then tom tries
  nonfinite_xcomp           | to blow another bubble
  subordinate_advcl         | to frighten the elephant
  coordinated_vp            | so he blew a very small bubble
  coordinated_vp            | and it turns into mouse
  parataxis                 | the mouse chased the elephant
  subordinate_advcl         | when tom has done
  nonfinite_xcomp           | playing with the bubbles
  coordinated_vp            | he poked all the bubbles with his finger
  coordinated_vp            | and then he put all the soap on the floor
  subordinate_advcl         | and when tom leaves
  coordinated_vp            | the bubble turns into a dragon
  subordinate_advcl         | because tom hasn't it blew out yet
File: ALL_088_M_CCT_ENG_ST1.TextGrid
Clauses: 32
  independent               | one day a black bird found a hat on the grass
  parataxis                 | he was so curious about the hat
  coordinated_vp            | and he put it on his head
  parataxis                 | he was really happy
  coordinated_vp            | and walked around the grass
  parataxis                 | a white bird saw him
  parataxis                 | the white bird the white bird laughed at him
  subordinate_advcl         | why you're looking so crazy and so stupid
  parataxis                 | he was keep
  nonfinite_xcomp           | laughing at the black bird
  coordinated_vp            | and the black bird got mad
  coordinated_vp            | and he put off his hat on the grass
  coordinated_vp            | and ran away
  coordinated_vp            | the white bird picked up the hat
  coordinated_vp            | and walked back his home
  parataxis                 | he slept on the hat all the day
  coordinated_vp            | and the black bird saw
  parataxis                 | his hat was maybe his
  subordinate_advcl         | like the black bird saw
  subordinate_ccomp         | the white bird was sleeping on the hat
  coordinated_vp            | and he tried
  nonfinite_xcomp           | to get back his hat
  parataxis                 | the white bird was really worried about why
  subordinate_acl:relcl     | he's taking back his hat
  coordinated_vp            | and he's trying
  nonfinite_xcomp           | to catch back the hat
  parataxis                 | now the white bird is staring at the black bird
  subordinate_advcl         | while the black bird has the hat on the top of his head
  parataxis                 | the black bird felt so weird
  subordinate_advcl         | is there something on top of his hat
  subordinate_advcl         | when he took off the hat
  parataxis                 | a baby bird was on his hat
File: ALL_088_M_CCT_ENG_ST2.TextGrid
Clauses: 60
  independent               | peter is playing his bubble
  parataxis                 | he was playing his bubble on the ground he is trying
  nonfinite_xcomp           | to make different animals
  parataxis                 | first of all he made a kangaroo
  coordinated_vp            | and he made a car
  coordinated_vp            | he made a ship
  coordinated_vp            | he made a crown
  coordinated_vp            | he made everything
  subordinate_acl:relcl     | that he can think of
  coordinated_vp            | and he was happily playing on with his bubble
  parataxis                 | now he has a thought
  subordinate_acl           | he is trying
  nonfinite_xcomp           | to make something interesting
  parataxis                 | therefore he is trying
  nonfinite_xcomp           | to make a long long thing
  subordinate_advcl         | what is it it's a snake a snake
  parataxis                 | it's a kind of weird snake
  parataxis                 | now he was really scared with the snake
  parataxis                 | then he is trying
  nonfinite_xcomp           | to make something else
  subordinate_advcl         | to scare the snake
  parataxis                 | what is
  parataxis                 | it is bigger than the snake
  parataxis                 | it's a cat
  parataxis                 | or it's a pig i don't know
  parataxis                 | but the snake is scared
  coordinated_vp            | and ran away
  parataxis                 | now the cat or the pig whatever is sitting on the ground
  coordinated_vp            | and is the cat do nothing now
  parataxis                 | peter is trying
  nonfinite_xcomp           | to make something more and more huge
  parataxis                 | it's an elephant
  parataxis                 | wow the elephant scared the cat away
  parataxis                 | peter was so excited
  subordinate_advcl         | about how the animals are frightening each other
  subordinate_advcl         | when peter is looking at the elephant
  parataxis                 | he has another mind in his head
  parataxis                 | he is trying
  nonfinite_xcomp           | to make something really really small
  parataxis                 | how come a small stuff can frightening
  nonfinite_xcomp           | to frighten away the elephant
  parataxis                 | it's a mouse
  parataxis                 | it's a mouse
  parataxis                 | the elephant was scared about the mice
  coordinated_vp            | and he ran away quickly
  parataxis                 | peter was really happy with that
  subordinate_advcl         | now everything has gone
  parataxis                 | he made some stars
  parataxis                 | he made some spots with his bubble
  parataxis                 | now he felt tired
  coordinated_vp            | and he poured away all the bubbles the soap on the ground
  coordinated_vp            | and he wants to
  coordinated_vp            | and he tried to
  coordinated_vp            | and he went back home
  subordinate_ccomp         | wait there is something
  subordinate_acl           | created by the soap
  parataxis                 | and the bubbles is a kind of dragon
  coordinated_vp            | but peter didn't see it
  parataxis                 | so what happened next
  parataxis                 | who knows
File: ALL_090_F_TUR_ENG_ST1.TextGrid
Clauses: 16
  independent               | a black bird finds a hat
  coordinated_vp            | and he wears it
  subordinate_advcl         | and while he's walking around the forest
  coordinated_vp            | a white bird solves him
  coordinated_vp            | and mocks with the hat
  coordinated_vp            | so the black bird gets offended and leaves
  subordinate_advcl         | by leaving the hat
  coordinated_vp            | and the white bird takes the hat
  coordinated_vp            | and brings it to his home
  coordinated_vp            | and the black bird follows the white bird
  coordinated_vp            | and solves what
  subordinate_acl:relcl     | the white bird did
  nonfinite_xcomp           | and tries to take his hat back
  coordinated_vp            | however it turns out
  subordinate_ccomp         | that the white bird made the hat his home
  coordinated_vp            | and there was a baby bird inside
File: ALL_090_F_TUR_ENG_ST2.TextGrid
Clauses: 15
  independent               | a boy sits under a tree
  subordinate_advcl         | making bubbles out of soap
