id;Sentence;Correct_classifications
190;"""  partner for the past decade, were both interested in Empath. But it's considered bad style to talk about climbs you're planning. The maxim is """" send,";non-evaluative
105;"""  project, from building a website to training to be an astronaut should include and consider disabled people right from the very beginning. # """" If we did this,,";non-evaluative
473;"""  property it is difficult for us to comment. """" # Historic Scotland will carefully consider the condition of the property and whether or not it would be appropriate to permit,";non-evaluative
442;"""  psychic Zeitgeist -- there was before """" Blue Velvet """" and there was after. Consider Frank's immortal line of dialogue: """" Heineken? Fuck that shit! Pabst,";non-evaluative
349;"""  said that she is """" giving up on white people. """" Even though she considered herself one... but also, in a 2017 """" open letter to the Democratic,";non-evaluative
435;"""  see whether we will appeal the decision. That is one option we will definitely consider. """" # However, delighted campaigners against the proposals welcomed the decision. #,";non-evaluative
63;"""  she would not be paid back any of the? 48, as it was considered a 100 per cent cancellation fee. # A fuming Caitlin explained: """" I,";evaluative
412;"""  Stamaril, is """" registered and distributed in over 70 countries """" but """" is considered investigational in the U.S., """" said the CDC. # """" CDC and Sanofi,";non-evaluative
30;"""  tens of billions of dollars in such events, and added the outage should be considered an example of an """" event that can produce what could be defined as an,";evaluative
202;"""  terms? # Iima offered this advice: """" It's forward-thinking to want to consider ways of reporting with new words. But, what I want you to be,";non-evaluative
431;"""  that we consider ourselves to be friends, """" he said. # """" We consider ourselves to have good relationships, but sometimes friends have to raise issues. """",";non-evaluative
406;"""  that were """" good for business """", but now they are being forced to consider what is simply """" good """". # One minute you can be helping the,";non-evaluative
231;"""  the first day of MCO was chaotic as he was unsure if the business was considered essential. # """" We stayed open the first day and figured out what to,";non-evaluative
28;"""  the first to reach out to the NDP MP Heather McPherson who originatedthe motion to consider making amendments, and that was reported in the Globe and Mail, """" Rabbi,";non-evaluative
434;"""  the new coach, but also sold Ramires to Jiangsu Suning for? 25m and considered off-loading Loic Remy too. # But Hiddink maintained: """" You have to see,";non-evaluative
448;"""  the principle and merits of having a UK-wide research infrastructure and will need to be considered by the devolved administrations and universities throughout the UK. # """" The real key,";non-evaluative
212;"""  the referendum """" unlawful """" in a new lawsuit. # The state is also considering whether to suspend a permit given to the company last year after a judge ruled,";non-evaluative
458;"""  the trademark since 1992. # The Redskins say they will ask the court to consider """" serious constitutional issues, """" including whether the ruling penalizes the team's right,";non-evaluative
490;"""  the two as leading factors in Mac adoption. User preference and increased productivity were considered important factors as well. # """" As a greater percentage of enterprise applications become,";non-evaluative
268;"""  The World Health Organization says using plasma from the recovered to treat Covid-19 is still considered an """" experimental """" therapy and that the preliminary results showing it may work are,";evaluative
256;"""  to avoid a damaging """" hard Brexit """". # Number 10 appeared willing to consider the prospect of sector-specific mini deals, with the Prime Minister's press secretary telling,";non-evaluative
59;"""  to be a route into a proper career, """" she says. # She considered architecture -- but instead turned to respiratory medicine. # Such an important job has,";non-evaluative
393;"""  to move back from the new styles they adopt, """" Shirazi believes. # Considering how the fashion space is """" growing by billions every year, """" coupled with,";evaluative
167;"""  to quickly cut business travel emissions by as much as 70%. # Some are considering a """" carbon budget """" as they come under growing pressure from environmental advocates and,";non-evaluative
372;"""  to review our charging decisions in relation to this case but we would of course consider any referral from the coroner. """" # Nazir Afzal told The Sunday Times:,";evaluative
133;"""  to your garden that can help prevent an aphid infestation. # """" You can consider growing flowering plants like cosmos and stonecrop, """" Rodrigues says. """" These attract,";non-evaluative
154;"""  took control over my aging and I took control over my voice and how I consider myself as a woman. """" # Despite her hangups, the mother of three";evaluative
311;"""  total run time, CPU time consumed, or total memory used need to be considered during design and implementation. """" # Cordial started exploring serverless technologies in 2015,,";non-evaluative
296;"""  understanding of the general welfare, while, in the back of their minds, considering how those actions will affect their popularity, """" he explained. """" Often,,";non-evaluative
38;"""  Unfortunately, this was an eventuality that could not be avoided, notwithstanding the measures considered by the business, """" the letter read in part. # """" Oh,,";non-evaluative
303;"""  up about a third of the household's salary. # """" I will never consider having a second child. It is too expensive, """" said Chen. #,";evaluative
365;"""  Vajubhai Vala and submitted a list claiming support of 117 MLAs with a plea to consider their claim for government formation. # 03:30 pm: """" If Congress-JD(S) are not,";evaluative
92;"""  views of those courts. # """" In any event, the Board does not consider that the argument based on section 1 of the 1976 Constitution can add anything to,";evaluative
113;"""  We are not a party to this arrangement, but would join the U.K. in considering anything short of Morad's immediate furlough a violation of Iran's commitment. """",";non-evaluative
387;"""  we do """" time in """" and """" time out """" every day. We consider our community sub-projects that we have completed through everyone's cooperation and by spending some,";non-evaluative
255;"""  will happen. """" # If you value what this story gives you, please consider supporting the Ipswich Star. Click the link in the orange box above for details,";non-evaluative
196;"""  will have a digital currency of its own in circulation """" by 2024 as it considers of """" utmost importance these new technologies and state-of-the-art payment infrastructure as options of great,";non-evaluative
333;"""  with Edi Rama, """" Mr Basha said. # Mr Rama tweeted that he considered the protest violence as a """" sadness """", adding that """" Albania is damaged,";non-evaluative
319;"""  women should envy me. Nazar Na lage. """" # 12/15 # Divyanka Tripathi considers her YHM producer Ekta Kapoor an inspiration for many women to step into the business,";non-evaluative
